product_id,title,vendor,product_type,category,subcategory,total_quantity,total_revenue,total_list_revenue,order_count,revenue_share
gid://shopify/LineItem/14127152496854,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,111860.0,159800.0,1,4.972159197073398e-06
gid://shopify/LineItem/14179823321302,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,111860.0,159800.0,1,4.972159197073398e-06
gid://shopify/LineItem/14180749738198,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,111860.0,159800.0,1,4.972159197073398e-06
gid://shopify/LineItem/14187943035094,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,111860.0,159800.0,1,4.972159197073398e-06
gid://shopify/LineItem/13881587433686,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,16,108800.0,136000.0,1,4.836142684083548e-06
gid://shopify/LineItem/14291906855126,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,16,108800.0,136000.0,1,4.836142684083548e-06
gid://shopify/Product/8825952272598,HidroPower GMN,GMN,Pre Entreno,Salud y Bienestar,Otros Suplementos de Bienestar,2,108800.0,136000.0,2,4.836142684083548e-06
gid://shopify/LineItem/14637494730966,CRE4 Smart Nutrition,,,Salud y Bienestar,Otros Suplementos de Bienestar,2,107800.0,154000.0,1,4.791692843237192e-06
gid://shopify/LineItem/14218877141206,CRE4 Smart Nutrition,,,Salud y Bienestar,Otros Suplementos de Bienestar,2,107800.0,154000.0,1,4.791692843237192e-06
gid://shopify/LineItem/14041764724950,CRE4 Smart Nutrition,,,Salud y Bienestar,Otros Suplementos de Bienestar,2,107800.0,154000.0,1,4.791692843237192e-06
gid://shopify/LineItem/13953181122774,Fish Oil Omega 3 1.360 mg Healthy America,,,Salud y Bienestar,Omega 3,2,107200.0,134000.0,1,4.7650229387293785e-06
gid://shopify/LineItem/13954400321750,Fish Oil Omega 3 1.360 mg Healthy America,,,Salud y Bienestar,Omega 3,2,107200.0,134000.0,1,4.7650229387293785e-06
gid://shopify/LineItem/14247141245142,Fish Oil Omega 3 1.360 mg Healthy America,,,Salud y Bienestar,Omega 3,2,107200.0,134000.0,1,4.7650229387293785e-06
gid://shopify/LineItem/13897141354710,Fish Oil Omega 3 1.360 mg Healthy America,,,Salud y Bienestar,Omega 3,2,107200.0,134000.0,1,4.7650229387293785e-06
gid://shopify/LineItem/14106394493142,Isopure Zero - Low Carb Isopure Company,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,105000.0,125000.0,1,4.667233288867394e-06
gid://shopify/LineItem/14101677277398,Isopure Zero - Low Carb Isopure Company,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,105000.0,125000.0,1,4.667233288867394e-06
gid://shopify/LineItem/14088400109782,Isopure Zero - Low Carb Isopure Company,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,105000.0,125000.0,1,4.667233288867394e-06
gid://shopify/LineItem/14645790671062,Bipro Classic Display Megaplex,,,Control de Peso,CLA,30,105000.0,150000.0,1,4.667233288867394e-06
gid://shopify/LineItem/14122868244694,Isopure Zero - Low Carb Isopure Company,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,105000.0,125000.0,1,4.667233288867394e-06
gid://shopify/LineItem/14066209292502,Isopure Zero - Low Carb Isopure Company,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,105000.0,125000.0,1,4.667233288867394e-06
gid://shopify/LineItem/14067043565782,Isopure Zero - Low Carb Isopure Company,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,105000.0,125000.0,1,4.667233288867394e-06
gid://shopify/LineItem/14127473623254,Isopure Zero - Low Carb Isopure Company,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,105000.0,125000.0,1,4.667233288867394e-06
gid://shopify/LineItem/14073778372822,Isopure Zero - Low Carb Isopure Company,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,105000.0,125000.0,1,4.667233288867394e-06
gid://shopify/LineItem/14783649546454,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,13,104000.0,130000.0,1,4.622783448021039e-06
gid://shopify/LineItem/14008167071958,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,15,102000.0,127500.0,1,4.533883766328327e-06
gid://shopify/LineItem/14552641929430,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,16,102000.0,136000.0,1,4.533883766328327e-06
gid://shopify/LineItem/14628357636310,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,15,102000.0,127500.0,1,4.533883766328327e-06
gid://shopify/LineItem/14342431310038,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,15,102000.0,127500.0,1,4.533883766328327e-06
gid://shopify/LineItem/14376931557590,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,17,101150.0,144500.0,1,4.496101401608924e-06
gid://shopify/LineItem/14153216950486,Fish Oil Omega 3 1.360 mg Healthy America,,,Salud y Bienestar,Omega 3,2,100500.0,134000.0,1,4.467209005058792e-06
gid://shopify/LineItem/13924829888726,Fish Oil Omega 3 1.360 mg Healthy America,,,Salud y Bienestar,Omega 3,2,100500.0,134000.0,1,4.467209005058792e-06
gid://shopify/LineItem/14066440405206,Fish Oil Omega 3 1.360 mg Healthy America,,,Salud y Bienestar,Omega 3,2,100500.0,134000.0,1,4.467209005058792e-06
gid://shopify/LineItem/13906170183894,Pase Fitmafia,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,99000.0,99000.0,1,4.400534243789258e-06
gid://shopify/LineItem/13901005586646,Pase Fitmafia,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,99000.0,99000.0,1,4.400534243789258e-06
gid://shopify/LineItem/14804930724054,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,12,96000.0,120000.0,1,4.267184721250189e-06
gid://shopify/LineItem/14830793949398,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,12,96000.0,120000.0,1,4.267184721250189e-06
gid://shopify/LineItem/14881259356374,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,12,96000.0,120000.0,1,4.267184721250189e-06
gid://shopify/LineItem/14878826004694,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,12,96000.0,120000.0,1,4.267184721250189e-06
